TIMESTAMP_1,TIMESTAMP_2,TIMESTAMP_3,TIMESTAMP_4,Ta_1_1_1,Pa_1_1_1,CO2Sig_1_1_1,H2OSig_1_1_1,RawDist_1_1_1,QualNR_1_1_1,TempCorDist_1_1_1,SnowDepth_1_1_1
yyyy,ddd,HH,MM,C,kPa,arb,arb,NA,NA,NA,NA
2018,344,06,30,-9.197627,73.21024,0.9044397,0.8172968,2.803,189.3333,2.755403,0.4445968
2018,344,07,00,-10.2076,73.23232,0.9043867,0.8172889,2.808666,189.1667,2.755686,0.444314
2018,344,07,30,-9.938426,73.23853,0.9045091,0.8174672,2.808167,189,2.756606,0.4433935
2018,344,08,00,-9.239467,73.2326,0.9045282,0.8174878,2.804167,186,2.756331,0.4436689
2018,344,08,30,-8.592235,73.238,0.9044998,0.817414,2.799833,183.8333,2.755445,0.4445546
2018,344,09,00,-7.641037,73.24352,0.9045772,0.8174667,2.796333,189.3333,2.756942,0.4430577
2018,344,09,30,-6.230901,73.25224,0.9042408,0.8170835,2.790333,187.8333,2.758322,0.4416784
2018,344,10,00,-4.862356,73.27096,0.9034634,0.8160539,2.784166,189.8333,2.759271,0.4407287
2018,344,10,30,-4.264099,73.25766,0.9029137,0.8152649,2.781166,189.8333,2.759373,0.4406272
2018,344,11,00,-3.94961,73.22684,0.9032037,0.8157191,2.780167,190.8333,2.759993,0.4400071
2018,344,11,30,-2.719152,73.17835,0.9030657,0.8154595,2.774167,192,2.760318,0.4396825
2018,344,12,00,-1.545675,73.15151,0.9029503,0.8152227,2.770166,190.5,2.762317,0.4376827
2018,344,12,30,-1.425766,73.10053,0.9029788,0.815268,2.769,188.1667,2.761763,0.4382367
2018,344,13,00,-1.269918,73.06928,0.9029766,0.8152429,2.769833,180.6667,2.763386,0.436614
2018,344,13,30,-1.404307,73.0396,0.9029606,0.8152335,2.771333,190.8333,2.764198,0.4358018
2018,344,14,00,-0.5651093,73.04409,0.9028246,0.8149727,2.7705,196.6667,2.767631,0.4323688
2018,344,14,30,-1.093806,73.03802,0.9030364,0.8152614,2.772166,205.1667,2.76661,0.4333901
2018,344,15,00,-2.627156,73.02869,0.903517,0.8160121,2.779667,207.1667,2.766266,0.4337343
2018,344,15,30,-2.69012,73.00999,0.9038864,0.8164962,2.777333,228.3333,2.763623,0.436377
